"Species","SpecCode","Suporder","Order","Family","Maximum_body_length","Body_elongation","Vertical_eye_position","Relative_eye_size","Oral_gape_position","Relative_maxillary_length"
"Compsura_heterura",53432,"Teleostei","Characiformes","Characidae",4,2.904306189,0.428673747,0.623076767,0.410441482,0.143910523
"Conorhynchos_conirostris",52761,"Teleostei","Siluriformes","Ariidae",53.5,3.702188925,0.476364687,0.250602582,0.20557165,0.215001161
"Copeina_guttata",10737,"Teleostei","Characiformes","Lebiasinidae",8,4.108869504,0.559587759,0.574205749,0.603884074,0.208869138
"Copeina_osgoodi",51227,"Teleostei","Characiformes","Lebiasinidae",5.1,3.752622533,0.643751491,0.700881533,0.744897148,0.421383824
"Copella_arnoldi",10741,"Teleostei","Characiformes","Lebiasinidae",3.36,5.092822662,0.603653606,0.6,0.746979833,0.205911469
"Copella_compta",51369,"Teleostei","Characiformes","Lebiasinidae",5.06,5.724578748,0.573385519,0.511111111,0.700828526,0.218866667
"Copella_eigenmanni",27262,"Teleostei","Characiformes","Lebiasinidae",4,5.329515253,0.50213774,0.711869381,0.636540906,0.226369287
"Copella_nattereri",11911,"Teleostei","Characiformes","Lebiasinidae",4.5,4.155742685,0.65670154,0.616157674,0.716558756,0.130900576
"Copella_vilmae",11912,"Teleostei","Characiformes","Lebiasinidae",4.5,5.078843298,0.57895176,0.379207867,0.678552954,0.211001243
"Coptobrycon_bilineatus",58039,"Teleostei","Characiformes","Characidae",4.1,2.77698669,0.47722157,0.494390805,0.409981161,0.375816092
"Cordylancistrus_daguae",49818,"Teleostei","Siluriformes","Loricariidae",10,4.32313942,0.699078173,0.140786517,0,0
"Cordylancistrus_torbesensis",49924,"Teleostei","Siluriformes","Loricariidae",6.5,5.555555556,0.822555556,0.231624834,0,0
"Corumbataia_cuestae",58324,"Teleostei","Siluriformes","Loricariidae",3.3,5.199988,0.653177374,0.289249158,0,0
"Corumbataia_tocantinensis",58325,"Teleostei","Siluriformes","Loricariidae",4,4.517068305,0.52403241,0.287930986,0,0
"Corydoras_acrensis",12155,"Teleostei","Siluriformes","Callichthyidae",3,2.526447368,0.398894737,0.32062,0,"NA"
"Corydoras_acutus",12156,"Teleostei","Siluriformes","Callichthyidae",5.48,2.756443254,0.529303329,0.296555556,0,"NA"
"Corydoras_aeneus",7777,"Teleostei","Siluriformes","Callichthyidae",8,2.603979139,0.462014492,0.229761626,0,"NA"
"Corydoras_agassizii",13109,"Teleostei","Siluriformes","Callichthyidae",5.2,2.928484697,0.375093747,0.302631579,0,"NA"
"Corydoras_amandajanea",53694,"Teleostei","Siluriformes","Callichthyidae",6,3.007008818,0.440163261,0.328789954,0,"NA"
"Corydoras_amapaensis",12157,"Teleostei","Siluriformes","Callichthyidae",7,3.054997016,0.567017093,0.31225673,0,"NA"
"Corydoras_ambiacus",12158,"Teleostei","Siluriformes","Callichthyidae",5,2.708687907,0.397561638,0.320518421,0,"NA"
"Corydoras_amphibelus",46041,"Teleostei","Siluriformes","Callichthyidae","NA",2.452050859,0.377419935,0.320520706,0,0.093799796
"Corydoras_approuaguensis",46042,"Teleostei","Siluriformes","Callichthyidae",6,2.712106,0.528034,0.259091176,0,"NA"
"Corydoras_araguaiaensis",46043,"Teleostei","Siluriformes","Callichthyidae",4,2.33782641,0.430246738,0.323764857,0,"NA"
"Corydoras_arcuatus",12159,"Teleostei","Siluriformes","Callichthyidae",4,2.497738956,0.440623745,0.283039958,0,"NA"
"Corydoras_areio",56452,"Teleostei","Siluriformes","Callichthyidae",5,2.86749229,0.524653329,0.2478,0,"NA"
"Corydoras_armatus",46044,"Teleostei","Siluriformes","Callichthyidae",5,2.688725718,0.439394409,0.350679718,0,"NA"
"Corydoras_atropersonatus",46045,"Teleostei","Siluriformes","Callichthyidae",4.5,2.478280403,0.440271108,0.355552922,0,"NA"
"Corydoras_aurofrenatus",48825,"Teleostei","Siluriformes","Callichthyidae","NA",3.078657303,0.557567416,0.352459016,0,"NA"
"Corydoras_axelrodi",12160,"Teleostei","Siluriformes","Callichthyidae",4.2,2.546926887,0.458593923,0.302726009,0,"NA"
"Corydoras_baderi",46046,"Teleostei","Siluriformes","Callichthyidae",5,2.393761367,0.432874644,0.283943803,0,0.098936277
"Corydoras_bicolor",46047,"Teleostei","Siluriformes","Callichthyidae",3.02,2.553139579,0.404824812,0.281073025,0,"NA"
"Corydoras_bifasciatus",12162,"Teleostei","Siluriformes","Callichthyidae",5.15,2.804599856,0.438603481,0.237524864,0,"NA"
"Corydoras_bilineatus",61667,"Teleostei","Siluriformes","Callichthyidae",5.03,2.709077322,0.284904637,0.39456695,0,"NA"
"Corydoras_blochi",12164,"Teleostei","Siluriformes","Callichthyidae",5,2.569025862,0.509784483,0.323917769,0,"NA"
"Corydoras_boehlkei",46048,"Teleostei","Siluriformes","Callichthyidae",3,2.521623825,0.392315635,0.374381818,0,"NA"
"Corydoras_boesemani",46049,"Teleostei","Siluriformes","Callichthyidae","NA",2.655935484,0.41816129,0.313432836,0,"NA"
"Corydoras_bondi",12165,"Teleostei","Siluriformes","Callichthyidae",5,2.649041961,0.455201584,0.297854975,0,"NA"
"Corydoras_breei",53735,"Teleostei","Siluriformes","Callichthyidae",4,2.941176471,0.446882353,0.362571913,0,"NA"
"Corydoras_brevirostris",57886,"Teleostei","Siluriformes","Callichthyidae",5,2.419854431,0.474700483,0.272313545,0,"NA"
"Corydoras_britskii",13120,"Teleostei","Siluriformes","Callichthyidae",9,2.583627063,0.38899633,0.251265887,0,"NA"
"Corydoras_burgessi",46051,"Teleostei","Siluriformes","Callichthyidae",5,2.604173611,0.472423611,0.314413599,0,"NA"
"Corydoras_carlae",46052,"Teleostei","Siluriformes","Callichthyidae",5.35,3.033068182,0.495867769,0.254427215,0,"NA"
"Corydoras_caudimaculatus",12166,"Teleostei","Siluriformes","Callichthyidae",4.15,2.13986014,0.440590909,0.337563253,0,"NA"
"Corydoras_cervinus",46053,"Teleostei","Siluriformes","Callichthyidae",5,2.814676831,0.56390355,0.275978201,0,"NA"
"Corydoras_cochui",12167,"Teleostei","Siluriformes","Callichthyidae",2.5,3.508196721,0.502393443,0.289733333,0,"NA"
"Corydoras_concolor",46054,"Teleostei","Siluriformes","Callichthyidae",5.4,2.3271721,0.499069133,0.29411188,0,"NA"
"Corydoras_condiscipulus",46055,"Teleostei","Siluriformes","Callichthyidae",5.1,2.900400365,0.452354194,0.343014628,0,"NA"
"Corydoras_copei",46056,"Teleostei","Siluriformes","Callichthyidae",4,2.356277362,0.435113685,0.342165272,0,"NA"
"Corydoras_coriatae",53695,"Teleostei","Siluriformes","Callichthyidae",6.48,3.191443574,0.509382801,0.256876155,0,"NA"
"Corydoras_cruziensis",61668,"Teleostei","Siluriformes","Callichthyidae",4.26,2.384216202,0.3896245,0.323598645,0,"NA"
"Corydoras_delphax",46058,"Teleostei","Siluriformes","Callichthyidae",5,2.410841416,0.397731724,0.410640505,0,"NA"
"Corydoras_difluviatilis",60276,"Teleostei","Siluriformes","Callichthyidae",5,2.595282224,0.487455364,0.22586483,0,"NA"
"Corydoras_duplicareus",53689,"Teleostei","Siluriformes","Callichthyidae",4,2.824261139,0.489497426,0.338582677,0,"NA"
"Corydoras_ehrhardti",46059,"Teleostei","Siluriformes","Callichthyidae",4.68,3.046393335,0.44651705,0.311111111,0,"NA"
"Corydoras_elegans",12168,"Teleostei","Siluriformes","Callichthyidae",5.1,2.636638393,0.319991327,0.274907027,0,"NA"
"Corydoras_ellisae",46060,"Teleostei","Siluriformes","Callichthyidae",5,2.753395104,0.513717592,0.274061378,0,"NA"
"Corydoras_eques",46061,"Teleostei","Siluriformes","Callichthyidae",5,2.393049139,0.370943981,0.220796141,0,"NA"
"Corydoras_esperanzae",46062,"Teleostei","Siluriformes","Callichthyidae",5.08,2.438484902,0.447484211,0.290597786,0,0.093477535
"Corydoras_evelynae",46063,"Teleostei","Siluriformes","Callichthyidae",4,2.459033621,0.392279862,0.352812138,0,0.115168035
"Corydoras_filamentosus",46064,"Teleostei","Siluriformes","Callichthyidae",3.15,2.934522722,0.533044318,0.312156917,0,"NA"
"Corydoras_flaveolus",46065,"Teleostei","Siluriformes","Callichthyidae",3.82,3.016516641,0.529983855,0.317542105,0,"NA"
"Corydoras_fowleri",46066,"Teleostei","Siluriformes","Callichthyidae",6.51,3.149996229,0.582062187,0.201116649,0,"NA"
"Corydoras_garbei",46067,"Teleostei","Siluriformes","Callichthyidae",3.72,3.108731547,0.425376445,0.339210897,0,"NA"
"Corydoras_geoffroy",57890,"Teleostei","Siluriformes","Callichthyidae",7,2.825261977,0.611715086,0.233307368,0,"NA"
"Corydoras_geryi",46068,"Teleostei","Siluriformes","Callichthyidae",6,2.754041596,0.324758597,0.243883277,0,"NA"
"Corydoras_gomezi",46070,"Teleostei","Siluriformes","Callichthyidae",4,2.476462574,0.4038067,0.344840576,0,"NA"
"Corydoras_gossei",12171,"Teleostei","Siluriformes","Callichthyidae",6,2.417847578,0.41244358,0.260484501,0,"NA"
"Corydoras_gracilis",46079,"Teleostei","Siluriformes","Callichthyidae",2.32,3.279614394,0.380865188,0.391327808,0,"NA"
"Corydoras_griseus",12172,"Teleostei","Siluriformes","Callichthyidae",4.2,3.149872922,0.481343763,0.369219852,0,"NA"
"Corydoras_guapore",12176,"Teleostei","Siluriformes","Callichthyidae",4.1,2.710062385,0.341341571,0.366000219,0,"NA"
"Corydoras_guianensis",46082,"Teleostei","Siluriformes","Callichthyidae",4.2,2.490507614,0.490865131,0.308406309,0,"NA"
"Corydoras_habrosus",46083,"Teleostei","Siluriformes","Callichthyidae",2,3.102233765,0.403526831,0.48293144,0,"NA"
"Corydoras_hastatus",12178,"Teleostei","Siluriformes","Callichthyidae",2.4,2.907777778,0.333333333,0.434770007,0,"NA"
"Corydoras_heteromorphus",46097,"Teleostei","Siluriformes","Callichthyidae",5.3,2.719708333,0.528096591,0.192316767,0,"NA"
"Corydoras_imitator",46098,"Teleostei","Siluriformes","Callichthyidae",6,2.870755102,0.476190476,0.333318319,0,"NA"
"Corydoras_julii",10923,"Teleostei","Siluriformes","Callichthyidae",5.2,2.388141876,0.393160609,0.262468491,0,"NA"
"Corydoras_kanei",56533,"Teleostei","Siluriformes","Callichthyidae",4,2.523863453,0.453213766,0.3195472,0,"NA"
"Corydoras_lamberti",46099,"Teleostei","Siluriformes","Callichthyidae",4,2.663533026,0.397183163,0.322985196,0,"NA"
"Corydoras_latus",46100,"Teleostei","Siluriformes","Callichthyidae",5.2,2.368650218,0.431630273,0.207310175,0,"NA"
"Corydoras_leopardus",46101,"Teleostei","Siluriformes","Callichthyidae",6.1,2.642165782,0.42643066,0.357316549,0,"NA"
"Corydoras_leucomelas",46102,"Teleostei","Siluriformes","Callichthyidae",4.5,2.280220322,0.405093782,0.240122271,0,"NA"
"Corydoras_loretoensis",46104,"Teleostei","Siluriformes","Callichthyidae",4,2.815282344,0.440062117,0.358124036,0,"NA"
"Corydoras_loxozonus",46106,"Teleostei","Siluriformes","Callichthyidae",5,2.569990047,0.509324374,0.342606705,0,"NA"
"Corydoras_maculifer",12183,"Teleostei","Siluriformes","Callichthyidae",6,2.757420154,0.426802558,0.293697476,0,"NA"
"Corydoras_melanistius",10924,"Teleostei","Siluriformes","Callichthyidae",5.1,2.254534766,0.430677018,0.269183407,0,"NA"
"Corydoras_melanotaenia",46110,"Teleostei","Siluriformes","Callichthyidae",6,3.08413546,0.419948359,0.258428629,0,"NA"
"Corydoras_melini",12184,"Teleostei","Siluriformes","Callichthyidae",5,2.446039147,0.406649182,0.320857907,0,"NA"
"Corydoras_metae",12185,"Teleostei","Siluriformes","Callichthyidae",5,2.286006884,0.420915992,0.284624718,0,"NA"
"Corydoras_micracanthus",46125,"Teleostei","Siluriformes","Callichthyidae",4,3.817591649,0.451138083,0.21696626,0,"NA"
"Corydoras_multimaculatus",46126,"Teleostei","Siluriformes","Callichthyidae",5.1,2.318086355,0.452131956,0.223883164,0,"NA"
"Corydoras_nanus",46157,"Teleostei","Siluriformes","Callichthyidae",4.5,2.779099647,0.389619076,0.31458417,0,"NA"
"Corydoras_napoensis",46158,"Teleostei","Siluriformes","Callichthyidae",4.2,2.812687735,0.316148338,0.376342261,0,"NA"
"Corydoras_narcissus",46159,"Teleostei","Siluriformes","Callichthyidae",6.5,2.83497165,0.570344297,0.204077468,0,"NA"
"Corydoras_nattereri",12187,"Teleostei","Siluriformes","Callichthyidae",5.4,2.809997848,0.390819934,0.280967748,0,"NA"
"Corydoras_oiapoquensis",46164,"Teleostei","Siluriformes","Callichthyidae",4.5,2.375001047,0.446154415,0.269943692,0,"NA"
"Corydoras_ornatus",46168,"Teleostei","Siluriformes","Callichthyidae",5,2.857668688,0.407870708,0.309430916,0,"NA"
"Corydoras_orphnopterus",46169,"Teleostei","Siluriformes","Callichthyidae",6,2.623747981,0.383309774,0.244638908,0,"NA"
"Corydoras_osteocarus",46171,"Teleostei","Siluriformes","Callichthyidae",4,2.788003456,0.494557154,0.355619093,0,"NA"
"Corydoras_ourastigma",46174,"Teleostei","Siluriformes","Callichthyidae",6,2.760284108,0.497055342,0.367424112,0,"NA"
"Corydoras_paleatus",10926,"Teleostei","Siluriformes","Callichthyidae",6.6,2.540260251,0.36226584,0.318849734,0,"NA"
"Corydoras_panda",12188,"Teleostei","Siluriformes","Callichthyidae",4,2.765978723,0.425664894,0.371314516,0,"NA"
"Corydoras_pantanalensis",58333,"Teleostei","Siluriformes","Callichthyidae",7,2.569656309,0.418349969,0.259987001,0,"NA"
"Corydoras_parallelus",53682,"Teleostei","Siluriformes","Callichthyidae",5.15,2.392326712,0.411168898,0.282248836,0,"NA"
"Corydoras_pastazensis",12189,"Teleostei","Siluriformes","Callichthyidae",6.07,3.073188352,0.505719184,0.277945619,0,"NA"
"Corydoras_polystictus",46180,"Teleostei","Siluriformes","Callichthyidae",3.5,2.526506063,0.462563053,0.319983713,0,"NA"
"Corydoras_potaroensis",46182,"Teleostei","Siluriformes","Callichthyidae",4.12,2.447903299,0.505451836,0.276416496,0,"NA"
"Corydoras_pulcher",12192,"Teleostei","Siluriformes","Callichthyidae",5,2.425556291,0.455127652,0.309715756,0,"NA"
"Corydoras_punctatus",12193,"Teleostei","Siluriformes","Callichthyidae",7,2.279825158,0.468262065,0.30106361,0,"NA"
"Corydoras_pygmaeus",12194,"Teleostei","Siluriformes","Callichthyidae",2.1,3.517751544,0.386671613,0.461349665,0,"NA"
"Corydoras_rabauti",12195,"Teleostei","Siluriformes","Callichthyidae",5,2.398293394,0.386511991,0.278549877,0,"NA"
"Corydoras_reticulatus",10927,"Teleostei","Siluriformes","Callichthyidae",6.1,2.334168147,0.358403028,0.317026108,0,"NA"
"Corydoras_reynoldsi",46218,"Teleostei","Siluriformes","Callichthyidae",3.15,2.654657502,0.474093387,0.344628433,0,"NA"
"Corydoras_robineae",46219,"Teleostei","Siluriformes","Callichthyidae",4.39,2.966041991,0.418118213,0.37689443,0,"NA"
"Corydoras_robustus",46220,"Teleostei","Siluriformes","Callichthyidae",7.12,2.72767379,0.379197903,0.282888577,0,"NA"
"Corydoras_sarareensis",53692,"Teleostei","Siluriformes","Callichthyidae",4.4,2.772086065,0.563479562,0.263256098,0,"NA"
"Corydoras_schwartzi",46224,"Teleostei","Siluriformes","Callichthyidae",4,2.242319635,0.416202519,0.310071633,0,"NA"
"Corydoras_semiaquilus",46226,"Teleostei","Siluriformes","Callichthyidae",6,3.333402433,0.572384514,0.28411889,0,"NA"
"Corydoras_septentrionalis",46227,"Teleostei","Siluriformes","Callichthyidae",5,2.844925141,0.478599525,0.331442693,0,"NA"
"Corydoras_serratus",53690,"Teleostei","Siluriformes","Callichthyidae",5,2.608268422,0.574471206,0.281670089,0,"NA"
"Corydoras_seussi",53693,"Teleostei","Siluriformes","Callichthyidae",6,2.668368373,0.431674881,0.262543886,0,"NA"
"Corydoras_similis",49839,"Teleostei","Siluriformes","Callichthyidae",4,2.584726214,0.447591202,0.357533519,0,"NA"
"Corydoras_simulatus",46229,"Teleostei","Siluriformes","Callichthyidae",5,2.803872824,0.550113455,0.228391033,0,"NA"
"Corydoras_sipaliwini",57893,"Teleostei","Siluriformes","Callichthyidae",5,2.800807853,0.460647751,0.390333579,0,"NA"
"Corydoras_sodalis",46231,"Teleostei","Siluriformes","Callichthyidae",5,2.328065572,0.363471252,0.307545681,0,"NA"
"Corydoras_solox",46232,"Teleostei","Siluriformes","Callichthyidae",6.25,2.871294522,0.586698969,0.23557987,0,"NA"
"Corydoras_spectabilis",56455,"Teleostei","Siluriformes","Callichthyidae",5,2.488778601,0.430857935,0.317212036,0,"NA"
"Corydoras_spilurus",12196,"Teleostei","Siluriformes","Callichthyidae",6,2.971930283,0.551506785,0.288816077,0,"NA"
"Corydoras_splendens",12154,"Teleostei","Siluriformes","Callichthyidae",6.08,2.457697781,0.394966992,0.256851485,0,0.101940594
"Corydoras_stenocephalus",48829,"Teleostei","Siluriformes","Callichthyidae",6.35,2.925397418,0.546077082,0.335065747,0,"NA"
"Corydoras_sterbai",46235,"Teleostei","Siluriformes","Callichthyidae",7,2.329080728,0.431458917,0.292281852,0,"NA"
"Corydoras_surinamensis",46238,"Teleostei","Siluriformes","Callichthyidae",5.1,2.643946274,0.445453593,0.271120806,0,0.101263699
"Corydoras_sychri",46245,"Teleostei","Siluriformes","Callichthyidae",4.3,2.783891728,0.567120867,0.318695053,0,"NA"
"Corydoras_trilineatus",12199,"Teleostei","Siluriformes","Callichthyidae",6.1,2.303010361,0.425628625,0.294641547,0,"NA"
"Corydoras_undulatus",46246,"Teleostei","Siluriformes","Callichthyidae",4.4,2.394581813,0.340376468,0.411725075,0,"NA"
"Corydoras_weitzmani",12201,"Teleostei","Siluriformes","Callichthyidae","NA",2.415358022,0.443080904,0.270076975,0,"NA"
"Corydoras_xinguensis",12202,"Teleostei","Siluriformes","Callichthyidae",4,2.52283647,0.422305549,0.30916863,0,"NA"
"Corydoras_zygatus",46247,"Teleostei","Siluriformes","Callichthyidae",6,2.730263355,0.402207093,0.303817058,0,"NA"
"Corymbophanes_andersoni",48149,"Teleostei","Siluriformes","Loricariidae",9,6.146440808,0.911670857,0.218661538,0,0
"Corymbophanes_kaiei",57850,"Teleostei","Siluriformes","Loricariidae",7,5.312989422,0.585548033,0.202003249,0,0
"Corynopoma_riisei",12349,"Teleostei","Characiformes","Characidae",5,3.21618846,0.460898158,0.439085307,0.549029323,0.290123257
"Creagrutus_amoenus",51280,"Teleostei","Characiformes","Characidae",10.2,2.706463028,0.47546343,0.532084783,0.372543157,0.300790889
"Creagrutus_anary",51279,"Teleostei","Characiformes","Characidae",4.5,3.875826346,0.503269611,0.563063686,0.369365824,0.342909974
"Creagrutus_atratus",58434,"Teleostei","Characiformes","Characidae",7.01,3.478915326,0.5,0.443893532,0.413865938,0.484159036
"Creagrutus_atrisignum",51282,"Teleostei","Characiformes","Characidae",6,3.455467993,0.546995428,0.542607116,0.374201268,0.273013157
"Creagrutus_barrigai",58436,"Teleostei","Characiformes","Characidae",5.33,3.249985197,0.537830343,0.470069032,0.413898593,0.243941294
"Creagrutus_beni",12351,"Teleostei","Characiformes","Characidae",7.3,3.100514422,0.498191661,0.466966667,0.549836014,0.2544
"Creagrutus_bolivari",51277,"Teleostei","Characiformes","Characidae",5.2,3.676171955,0.527669737,0.49221384,0.402292733,0.287408737
"Creagrutus_britskii",58437,"Teleostei","Characiformes","Characidae",5.25,3.080327954,0.487537405,0.414994588,0.326875732,0.468102156
"Creagrutus_calai",58438,"Teleostei","Characiformes","Characidae",7,3.796183905,0.51029801,0.489216595,0.362815418,0.439121371
"Creagrutus_changae",58439,"Teleostei","Characiformes","Characidae",7,3.506643289,0.534996433,0.525532101,0.374217505,0.214674389
"Creagrutus_cochui",51134,"Teleostei","Characiformes","Characidae",11.3,3.944539538,0.419313846,0.487603027,0.327189956,0.34972498
"Creagrutus_cracentis",58440,"Teleostei","Characiformes","Characidae",6,5.156977018,0.541328354,0.53848543,0.376043229,0.215059281
"Creagrutus_figueiredoi",58443,"Teleostei","Characiformes","Characidae",6.33,3.545102943,0.484755115,0.474719898,0.349858832,0.485687609
"Creagrutus_flavescens",58444,"Teleostei","Characiformes","Characidae",9.38,2.979086415,0.456186776,0.448424785,0.373580026,0.464569552
"Creagrutus_gephyrus",53429,"Teleostei","Characiformes","Characidae",6.5,3.893443206,0.467707044,0.522525434,0.29677782,0.247835984
"Creagrutus_gracilis",58445,"Teleostei","Characiformes","Characidae",8,3.764428463,0.468602621,0.474353968,0.346367805,0.431560813
"Creagrutus_gyrospilus",58446,"Teleostei","Characiformes","Characidae",6.23,3.340493961,0.505867623,0.505458476,0.351658401,0.486696863
"Creagrutus_holmi",58447,"Teleostei","Characiformes","Characidae",9.2,3.287171426,0.617144922,0.39338921,0.526463738,0.248702335
"Creagrutus_ignotus",58448,"Teleostei","Characiformes","Characidae",6.23,4.459576668,0.56840367,0.472134056,0.343866472,0.479031815
"Creagrutus_kunturus",52030,"Teleostei","Characiformes","Characidae",10,3.220879868,0.546624187,0.407377231,0.430225054,0.465842036
"Creagrutus_machadoi",58450,"Teleostei","Characiformes","Characidae",4.45,3.946370407,0.729141166,0.463014167,0.560444804,0.497069085
"Creagrutus_magoi",58451,"Teleostei","Characiformes","Characidae",6.48,3.52829014,0.534585223,0.427552176,0.378164049,0.380462725
"Creagrutus_manu",58452,"Teleostei","Characiformes","Characidae",4,3.031879166,0.493489945,0.544879928,0.361029149,0.148965374
"Creagrutus_maxillaris",51314,"Teleostei","Characiformes","Characidae",7.2,4.369155352,0.524043671,0.56803759,0.391947332,0.589560098
"Creagrutus_melanzonus",28003,"Teleostei","Characiformes","Characidae",4,4.244025362,0.507930052,0.507368175,0.262713311,0.242669724
"Creagrutus_melasma",51887,"Teleostei","Characiformes","Characidae",4,3.131561296,0.563145981,0.518286029,0.441423609,0.310105216
"Creagrutus_menezesi",58453,"Teleostei","Characiformes","Characidae",8,3.342644802,0.525963593,0.451859393,0.3784745,0.364360512
"Creagrutus_meridionalis",58454,"Teleostei","Characiformes","Characidae",11,3.281721766,0.512700104,0.432926352,0.360407133,0.487963718
"Creagrutus_molinus",58455,"Teleostei","Characiformes","Characidae",6,4.520410293,0.505786796,0.478400168,0.337311588,0.453662123
"Creagrutus_mucipu",58456,"Teleostei","Characiformes","Characidae",6,3.31642577,0.524067227,0.427315202,0.443551821,0.255610732
"Creagrutus_muelleri",51278,"Teleostei","Characiformes","Characidae",11,3.283314631,0.517184239,0.454360117,0.37802999,0.439328042
"Creagrutus_occidaneus",58457,"Teleostei","Characiformes","Characidae",7,3.533374726,0.525047047,0.457064571,0.415871878,0.407570423
"Creagrutus_ortegai",58458,"Teleostei","Characiformes","Characidae",7.11,3.347838129,0.562468072,0.500018267,0.402148023,0.377558849
"Creagrutus_ouranonastes",58459,"Teleostei","Characiformes","Characidae",10,4.166656398,0.683649289,0.475509598,0.507900474,0.311727448
"Creagrutus_paraguayensis",53430,"Teleostei","Characiformes","Characidae",6,3.488010289,0.562873326,0.486068004,0.48802884,0.352355459
"Creagrutus_pearsoni",56458,"Teleostei","Characiformes","Characidae",3.4,3.306090635,0.659498594,0.421108691,0.614287582,0.251283799
"Creagrutus_peruanus",51135,"Teleostei","Characiformes","Characidae",9,3.359758013,0.47337259,0.404456912,0.383835861,0.31258498
"Creagrutus_petilus",58460,"Teleostei","Characiformes","Characidae",5,3.759503592,0.589398054,0.505709853,0.453635395,0.344924121
"Creagrutus_phasma",51275,"Teleostei","Characiformes","Characidae",7,4.645769781,0.701351709,0.515356623,0.525765735,0.421842795
"Creagrutus_pila",58461,"Teleostei","Characiformes","Characidae",7.05,4.0365179,0.518709627,0.484965528,0.340989399,0.263409957
"Creagrutus_planquettei",28004,"Teleostei","Characiformes","Characidae",7,3.876858699,0.655317215,0.473150137,0.557495988,0.304890996
"Creagrutus_provenzanoi",58462,"Teleostei","Characiformes","Characidae",6,3.665149424,0.539197715,0.534431552,0.369918783,0.478039818
"Creagrutus_runa",58463,"Teleostei","Characiformes","Characidae",6.27,5.195402627,0.529688587,0.527911977,0.305116554,0.422505515
"Creagrutus_saxatilis",58464,"Teleostei","Characiformes","Characidae",8.17,3.202501235,0.539247384,0.475253285,0.45568391,0.431259124
"Creagrutus_seductus",58465,"Teleostei","Characiformes","Characidae",7.03,3.912692953,0.587499656,0.44083922,0.453154665,0.431195049
"Creagrutus_taphorni",58466,"Teleostei","Characiformes","Characidae",7.41,3.18547414,0.505382768,0.513813398,0.362959058,0.423354293
"Creagrutus_ungulus",58467,"Teleostei","Characiformes","Characidae",10.9,3.504501371,0.474474731,0.437526318,0.29730049,0.466341941
"Creagrutus_vexillapinnus",58469,"Teleostei","Characiformes","Characidae",5.04,3.092991101,0.512563443,0.541726611,0.389443977,0.409894387
"Creagrutus_xiphos",58470,"Teleostei","Characiformes","Characidae",3,3.422162678,0.545695855,0.523608175,0.381825826,0.468694944
"Creagrutus_zephyrus",58471,"Teleostei","Characiformes","Characidae",4,4.241247342,0.594934537,0.556246953,0.436413145,0.445099724
"Crenicara_latruncularium",57480,"Teleostei","Perciformes","Cichlidae",9,3.077507245,0.624617213,0.470157161,0.427820238,0.22986712
"Crenicichla_acutirostris",46805,"Teleostei","Perciformes","Cichlidae",23,5.403605098,0.66691304,0.48545037,0.615219851,0.636978523
"Crenicichla_adspersa",46808,"Teleostei","Perciformes","Cichlidae",29,4.597157892,0.479479362,0.433727479,0.404527732,0.562054542
"Crenicichla_albopunctata",46809,"Teleostei","Perciformes","Cichlidae",14,4.585107574,0.568925399,0.490342212,0.534438273,0.547958077
"Crenicichla_alta",23394,"Teleostei","Perciformes","Cichlidae",16,3.868410631,0.596971754,0.421758338,0.536116887,0.658666391
"Crenicichla_anthurus",26688,"Teleostei","Perciformes","Cichlidae",22.4,3.966329014,0.490245346,0.514435962,0.397211077,0.834214605
"Crenicichla_britskii",46821,"Teleostei","Perciformes","Cichlidae",14.5,3.57339549,0.557877507,0.477462538,0.511778465,0.530409841
"Crenicichla_cametana",46848,"Teleostei","Perciformes","Cichlidae",18.3,5.357946515,0.494346681,0.527065183,0.476735486,0.743441851
"Crenicichla_celidochilus",46824,"Teleostei","Perciformes","Cichlidae",26.8,4.317695613,0.537922818,0.440749757,0.404127133,0.773961133
"Crenicichla_cincta",46351,"Teleostei","Perciformes","Cichlidae",20,3.872679679,0.592412416,0.409,0.451615409,0.714258427
"Crenicichla_compressiceps",46840,"Teleostei","Perciformes","Cichlidae",6,4.911376225,0.587848317,0.520675225,0.510080954,0.401919758
"Crenicichla_cyclostoma",46845,"Teleostei","Perciformes","Cichlidae",10,4.625711503,0.568427477,0.42733437,0.483927377,0.589933218
"Crenicichla_frenata",52191,"Teleostei","Perciformes","Cichlidae",12,3.769976203,0.507871086,0.386241062,0.376217463,0.692264574
"Crenicichla_gaucho",46855,"Teleostei","Perciformes","Cichlidae",13,4.21365972,0.578671106,0.438930684,0.443813576,0.61588887
"Crenicichla_geayi",12329,"Teleostei","Perciformes","Cichlidae",13,5.141645701,0.492513943,0.626266667,0.469448794,0.5831
"Crenicichla_haroldoi",52206,"Teleostei","Perciformes","Cichlidae",10,4.044994444,0.666666667,0.281690141,0.488888889,0.410147887
"Crenicichla_heckeli",46856,"Teleostei","Perciformes","Cichlidae",5.22,4.430023252,0.624630979,0.516252917,0.516054027,0.658094632
"Crenicichla_hemera",46857,"Teleostei","Perciformes","Cichlidae",10,4.954096676,0.58873912,0.543049933,0.496978276,0.553423774
"Crenicichla_hummelincki",56539,"Teleostei","Perciformes","Cichlidae",11,4.207921195,0.487505176,0.462369998,0.408116713,0.674782388
